Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
417437,CIM,mobil,75,Mastil,5, Sarrià-Sant Gervasi,25,Sant Gervasi-la Bonanova,427954827,4583827699,2.1380909,41.4027648,2000/01/01
417481,CIM,mobil,94,Mastil,2, Eixample,8,l'Antiga Esquerra de l'Eixample,429579299,4582023174,2.1577329,41.3866562,2000/01/01
417484,CIM,mobil,1,Mastil,2, Eixample,7,la Dreta de l'Eixample,430204160,4582080361,2.1651992,41.3872254,1900/01/01
417485,CIF,fixa,129,Mastil,2, Eixample,7,la Dreta de l'Eixample,430204160,4582080361,2.1651992,41.3872254,1900/01/01
417488,DOMO,mobil,2,Mastil,2, Eixample,7,la Dreta de l'Eixample,430802217,4582239721,2.1723334,41.3887123,2000/01/01
417489,CIF,fixa,122,Mastil,2, Eixample,7,la Dreta de l'Eixample,430802217,4582239721,2.1723334,41.3887123,2000/01/01
417493,CIM,mobil,9,Mastil,2, Eixample,7,la Dreta de l'Eixample,430198319,4582629625,2.1650661,41.3921720,2000/01/01
417494,CIF,fixa,117,Mastil,2, Eixample,7,la Dreta de l'Eixample,430198319,4582629625,2.1650661,41.3921720,2000/01/01
417496,CIM,mobil,21,Mastil,2, Eixample,7,la Dreta de l'Eixample,430206849,4582849531,2.1651427,41.3941533,2000/01/01
417498,CIM,mobil,97,Mastil,2, Eixample,8,l'Antiga Esquerra de l'Eixample,429814094,4582467419,2.1604895,41.3906773,2000/01/01
417502,CIM,mobil,95,Mastil,2, Eixample,8,l'Antiga Esquerra de l'Eixample,429352701,4582406023,2.1549783,41.3900843,2000/01/01
417506,CIM,mobil,4,Mastil,2, Eixample,7,la Dreta de l'Eixample,430574912,4583402183,2.1694817,41.3991627,2000/01/01
417589,CIM,mobil,10,Mastil,2, Eixample,7,la Dreta de l'Eixample,430583868,4581882316,2.1697630,41.3854740,2000/01/01
417590,CIF,fixa,130,Mastil,2, Eixample,7,la Dreta de l'Eixample,430583868,4581882316,2.1697630,41.3854740,2000/01/01
417592,DOMO,mobil,83,Mastil,2, Eixample,7,la Dreta de l'Eixample,430734962,4582042719,2.1715516,41.3869320,2000/01/01
417594,CIF,fixa,125,Mastil,2, Eixample,5,el Fort Pienc,431561819,4583402911,2.1812866,41.3992541,2000/01/01
417596,CIM,mobil,100,Mastil,2, Eixample,5,el Fort Pienc,431462349,4583682855,2.1800651,41.4017662,2000/01/01
417598,CIM,mobil,22,Mastil,2, Eixample,6,la Sagrada Família,431168493,4583585220,2.1765610,41.4008618,2000/01/01
417600,CIM,mobil,101,Mastil,2, Eixample,6,la Sagrada Família,431101666,4583912340,2.1757245,41.4038030,2000/01/01
417602,CIM,mobil,104,Mastil,10, Sant Martí,65,el Clot,431847564,4584270267,2.1846069,41.4070899,2000/01/01
417604,CIM,mobil,36,Mastil,10, Sant Martí,66,el Parc i la Llacuna del Poblenou,432342515,4583923914,2.1905668,41.4040123,2000/01/01
417605,CIF,fixa,131,Mastil,10, Sant Martí,66,el Parc i la Llacuna del Poblenou,432342515,4583923914,2.1905668,41.4040123,2000/01/01
417607,CIM,mobil,35,Mastil,10, Sant Martí,71,Provençals del Poblenou,432524642,4584112815,2.1927245,41.4057292,2000/01/01
417609,CIM,mobil,8,Mastil,10, Sant Martí,65,el Clot,432045113,4584627186,2.1869301,41.4103218,2000/01/01
417612,CIF,fixa,121,Mastil,10, Sant Martí,71,Provençals del Poblenou,432984787,4584788315,2.1981543,41.4118516,2000/01/01
417617,CIM Ronda,mobil,,Mastil,10, Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,434259196,4583720206,2.2135175,41.4023366,2000/01/01
417621,CIM Ronda,mobil,,Mastil,10, Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,434685501,4584261341,2.2185587,41.4072450,2000/01/01
417623,CIM Ronda,mobil,,Mastil,10, Sant Martí,67,la Vila Olímpica del Poblenou,432756547,4582130890,2.1957188,41.3878980,2000/01/01
417634,CIM,mobil,102,Mastil,10, Sant Martí,66,el Parc i la Llacuna del Poblenou,432147129,4583007262,2.1883322,41.3957397,2000/01/01
417636,CIM,mobil,103,Mastil,10, Sant Martí,66,el Parc i la Llacuna del Poblenou,432013459,4583303848,2.1867002,41.3984001,2000/01/01
417639,CIM,mobil,98,Mastil,2, Eixample,7,la Dreta de l'Eixample,429727346,4583143350,2.1593735,41.3967578,2000/01/01
417645,CIM,mobil,,Mastil,4, Les Corts,19,les Corts,427216783,4582695383,2.1293984,41.3925003,2000/01/01
417652,DOMO,mobil,80,Mastil,4, Les Corts,19,les Corts,427016873,4582239428,2.1270623,41.3883751,2000/01/01
417653,CIF,fixa,118,Mastil,4, Les Corts,19,les Corts,427016873,4582239428,2.1270623,41.3883751,2000/01/01
417656,CIM,mobil,91,Mastil,4, Les Corts,21,Pedralbes,426649208,4582120246,2.1226797,41.3872681,2000/01/01
    417659,CIM Ronda,mobil,,Mastil,4, Les Corts,21,Pedralbes,425137653,4581905978,2.1046291,41.3851992,2000/01/01
    417661,CIM Ronda,mobil,,Mastil,4, Les Corts,21,Pedralbes,425417899,4582353312,2.1079255,41.3892544,2000/01/01
    417663,CIM,mobil,15,Mastil,4, Les Corts,19,les Corts,428325077,4581922942,2.1427452,41.3856419,2000/01/01
    417665,CIM,mobil,90,Mastil,5, Sarrià-Sant Gervasi,24,les Tres Torres,427636800,4583035388,2.1343813,41.3955999,2000/01/01
    417667,CIM,mobil,13,Mastil,5, Sarrià-Sant Gervasi,24,les Tres Torres,427492515,4583266714,2.1326278,41.3976705,2000/01/01
    417669,CIM,mobil,89,Fanal,5, Sarrià-Sant Gervasi,23,Sarrià,426674164,4583613545,2.1227973,41.4007198,2000/01/01
    417671,CIM Ronda,mobil,,Mastil,5, Sarrià-Sant Gervasi,23,Sarrià,426112957,4583885289,2.1160512,41.4031160,2000/01/01
    417674,CIM Ronda,mobil,,Mastil,5, Sarrià-Sant Gervasi,23,Sarrià,426146186,4583922507,2.1164441,41.4034543,2000/01/01
    417676,CIM,mobil,46,Mastil,5, Sarrià-Sant Gervasi,24,les Tres Torres,427276339,4584054540,2.1299474,41.4047462,2000/01/01
    417678,CIM Ronda,mobil,,Mastil,5, Sarrià-Sant Gervasi,25,Sant Gervasi-la Bonanova,426884828,4584641744,2.1251931,41.4099997,2000/01/01
    417682,CIM Ronda,mobil,,Mastil,6, Gràcia,28,Vallcarca i els Penitents,428019235,4585468033,2.1386661,41.4175441,2000/01/01
    417684,CIM Ronda,mobil,,Mastil,7, Horta-Guinardó,39,Sant Genís dels Agudells,428290992,4586246185,2.1418254,41.4245768,2000/01/01
